id,date,month,season,status,zipcode,buy_price,fall_price,spring_price,summer_price,winter_price,best_price,Profit,best_season_to_sell
7129300520,2014-10-13,10,fall,Buy,98178,221900.0,288470.0,288470.0,288470.0,288470.0,288470.0,66570.0,"summer,spring,fall,winter"
5631500400,2015-02-25,2,winter,Buy,98028,180000.0,234000.0,234000.0,234000.0,234000.0,234000.0,54000.0,"summer,spring,fall,winter"
1954400510,2015-02-18,2,winter,Buy,98074,510000.0,663000.0,663000.0,663000.0,663000.0,663000.0,153000.0,"summer,spring,fall,winter"
1321400060,2014-06-27,6,summer,Buy,98003,257500.0,283250.0,334750.0,334750.0,334750.0,334750.0,77250.0,"summer,spring,winter"
2414600126,2015-04-15,4,spring,Buy,98146,229500.0,298350.0,298350.0,298350.0,298350.0,298350.0,68850.0,"summer,spring,fall,winter"
3793500160,2015-03-12,3,spring,Buy,98038,323000.0,419900.0,419900.0,419900.0,419900.0,419900.0,96900.0,"summer,spring,fall,winter"
9212900260,2014-05-27,5,spring,Buy,98115,468000.0,608400.0,608400.0,608400.0,608400.0,608400.0,140400.0,"summer,spring,fall,winter"
114101516,2014-05-28,5,spring,Buy,98028,310000.0,403000.0,403000.0,403000.0,403000.0,403000.0,93000.0,"summer,spring,fall,winter"
6054650070,2014-10-07,10,fall,Buy,98074,400000.0,520000.0,520000.0,520000.0,520000.0,520000.0,120000.0,"summer,spring,fall,winter"
1875500060,2014-07-31,7,summer,Buy,98019,395000.0,513500.0,513500.0,513500.0,513500.0,513500.0,118500.0,"summer,spring,fall,winter"
6865200140,2014-05-29,5,spring,Buy,98103,485000.0,630500.0,630500.0,630500.0,630500.0,630500.0,145500.0,"summer,spring,fall,winter"
16000397,2014-12-05,12,winter,Buy,98002,189000.0,245700.0,245700.0,245700.0,245700.0,245700.0,56700.0,"summer,spring,fall,winter"
7983200060,2015-04-24,4,spring,Buy,98003,230000.0,299000.0,299000.0,299000.0,299000.0,299000.0,69000.0,"summer,spring,fall,winter"
7137970340,2014-07-03,7,summer,Buy,98092,285000.0,370500.0,370500.0,370500.0,370500.0,370500.0,85500.0,"summer,spring,fall,winter"
8091400200,2014-05-16,5,spring,Buy,98030,252700.0,328510.0,328510.0,328510.0,328510.0,328510.0,75810.0,"summer,spring,fall,winter"
1202000200,2014-11-03,11,fall,Buy,98002,233000.0,302900.0,302900.0,256300.0,302900.0,302900.0,69900.0,"winter,spring,fall"
3303700376,2014-12-01,12,winter,Buy,98112,667000.0,867100.0,867100.0,867100.0,867100.0,867100.0,200100.0,"summer,spring,fall,winter"
5101402488,2014-06-24,6,summer,Buy,98115,438000.0,569400.0,569400.0,569400.0,569400.0,569400.0,131400.0,"summer,spring,fall,winter"
2426039314,2014-12-01,12,winter,Buy,98133,280000.0,364000.0,364000.0,364000.0,364000.0,364000.0,84000.0,"summer,spring,fall,winter"
7589200193,2014-11-10,11,fall,Buy,98117,535000.0,588500.0,695500.0,588500.0,695500.0,695500.0,160500.0,"spring,winter"
7955080270,2014-12-03,12,winter,Buy,98058,322500.0,419250.0,419250.0,419250.0,419250.0,419250.0,96750.0,"summer,spring,fall,winter"
5547700270,2014-07-15,7,summer,Buy,98074,625000.0,812500.0,812500.0,812500.0,812500.0,812500.0,187500.0,"summer,spring,fall,winter"
9270200160,2014-10-28,10,fall,Buy,98119,685000.0,890500.0,890500.0,890500.0,753500.0,890500.0,205500.0,"summer,spring,fall"
1432701230,2014-07-29,7,summer,Buy,98058,309000.0,401700.0,401700.0,401700.0,401700.0,401700.0,92700.0,"summer,spring,fall,winter"
8945200830,2015-03-25,3,spring,Buy,98023,210490.0,273637.0,273637.0,273637.0,273637.0,273637.0,63147.0,"summer,spring,fall,winter"
9215400105,2015-04-28,4,spring,Buy,98115,450000.0,585000.0,585000.0,585000.0,585000.0,585000.0,135000.0,"summer,spring,fall,winter"
5245600105,2014-09-16,9,fall,Buy,98148,228000.0,296400.0,296400.0,296400.0,296400.0,296400.0,68400.0,"summer,spring,fall,winter"
7231300125,2015-02-17,2,winter,Buy,98056,345000.0,448500.0,448500.0,448500.0,448500.0,448500.0,103500.0,"summer,spring,fall,winter"
8079040320,2015-02-23,2,winter,Buy,98059,430000.0,473000.0,559000.0,559000.0,473000.0,559000.0,129000.0,"summer,spring"
9528102996,2014-12-07,12,winter,Buy,98115,549000.0,603900.0,713700.0,713700.0,603900.0,713700.0,164700.0,"summer,spring"
1189001180,2014-06-03,6,summer,Buy,98122,425000.0,552500.0,552500.0,552500.0,552500.0,552500.0,127500.0,"summer,spring,fall,winter"
3253500160,2014-11-20,11,fall,Buy,98144,317625.0,412912.5,412912.5,412912.5,412912.5,412912.5,95287.5,"summer,spring,fall,winter"
3394100030,2014-09-09,9,fall,Buy,98004,975000.0,1267500.0,1267500.0,1267500.0,1267500.0,1267500.0,292500.0,"summer,spring,fall,winter"
1274500060,2014-08-25,8,summer,Buy,98042,204000.0,265200.0,265200.0,265200.0,265200.0,265200.0,61200.0,"summer,spring,fall,winter"
1049000060,2015-01-05,1,winter,Buy,98034,325000.0,422500.0,422500.0,422500.0,422500.0,422500.0,97500.0,"summer,spring,fall,winter"
4036801170,2014-10-13,10,fall,Buy,98008,380000.0,494000.0,494000.0,494000.0,494000.0,494000.0,114000.0,"summer,spring,fall,winter"
2391600320,2015-04-20,4,spring,Buy,98116,480000.0,624000.0,624000.0,624000.0,624000.0,624000.0,144000.0,"summer,spring,fall,winter"
9418400240,2014-10-28,10,fall,Buy,98118,355000.0,390500.0,461500.0,461500.0,390500.0,461500.0,106500.0,"summer,spring"
1523059105,2015-01-28,1,winter,Buy,98059,356000.0,462800.0,462800.0,462800.0,462800.0,462800.0,106800.0,"summer,spring,fall,winter"
1133000671,2014-06-02,6,summer,Buy,98125,315000.0,409500.0,409500.0,409500.0,409500.0,409500.0,94500.0,"summer,spring,fall,winter"
2599001200,2014-11-03,11,fall,Buy,98092,305000.0,396500.0,396500.0,335500.0,335500.0,396500.0,91500.0,"spring,fall"
1332700270,2014-05-19,5,spring,Buy,98056,215000.0,279500.0,279500.0,279500.0,279500.0,279500.0,64500.0,"summer,spring,fall,winter"
3869900162,2014-09-04,9,fall,Buy,98136,335000.0,435500.0,435500.0,435500.0,435500.0,435500.0,100500.0,"summer,spring,fall,winter"
2791500270,2014-05-22,5,spring,Buy,98023,243500.0,316550.0,316550.0,316550.0,316550.0,316550.0,73050.0,"summer,spring,fall,winter"
4168000060,2015-02-26,2,winter,Buy,98023,153000.0,198900.0,198900.0,198900.0,198900.0,198900.0,45900.0,"summer,spring,fall,winter"
1483300570,2014-09-08,9,fall,Buy,98040,905000.0,1176500.0,1176500.0,1176500.0,1176500.0,1176500.0,271500.0,"summer,spring,fall,winter"
3422049190,2015-03-30,3,spring,Buy,98032,247500.0,321750.0,321750.0,321750.0,272250.0,321750.0,74250.0,"summer,spring,fall"
1099611230,2014-09-12,9,fall,Buy,98023,199000.0,258700.0,258700.0,258700.0,258700.0,258700.0,59700.0,"summer,spring,fall,winter"
722079104,2014-07-11,7,summer,Buy,98038,314000.0,408200.0,408200.0,408200.0,408200.0,408200.0,94200.0,"summer,spring,fall,winter"
2450000295,2014-10-07,10,fall,Buy,98004,1088000.0,1196800.0,1414400.0,1414400.0,1414400.0,1414400.0,326400.0,"summer,spring,winter"
6197800045,2014-09-24,9,fall,Buy,98058,290000.0,377000.0,377000.0,377000.0,377000.0,377000.0,87000.0,"summer,spring,fall,winter"
546000875,2014-05-23,5,spring,Buy,98117,460000.0,598000.0,598000.0,598000.0,598000.0,598000.0,138000.0,"summer,spring,fall,winter"
